Patient,No benefits,Responder,TIDE,IFNG,MSI Expr Sig,Merck18,CD274,CD8,CTL.flag,Dysfunction,Exclusion,MDSC,CAF,TAM M2
TCGA-HF-A5NB-01A,FALSE,R,-0.74,0.05,0.8,0.03,0,0.1,TRUE,-0.74,-0.76,0.05,-0.17,0
TCGA-HJ-7597-01A,FALSE,NR,0.3,0.25,0.67,0.15,0,0.29,TRUE,0.3,-0.51,0.09,-0.09,-0.07
TCGA-HU-8238-01A,FALSE,R,-1.55,-0.09,0.46,-0.08,0,-0.09,FALSE,0.67,-1.55,-0.06,-0.12,-0.05
TCGA-HU-8244-01A,FALSE,R,-1.08,-0.38,0.52,-0.3,0,-0.51,FALSE,-1.08,-1.08,0.03,-0.28,0.07
TCGA-HU-8249-01A,FALSE,R,-0.1,0.2,0.38,0.06,0,0.03,TRUE,-0.1,-0.62,0.07,-0.18,0.02
TCGA-HU-8602-01A,FALSE,R,-0.52,0.28,0.78,0.2,0,0.15,TRUE,-0.52,-1.18,0.02,-0.09,-0.11
TCGA-HU-8604-01A,FALSE,NR,0.58,0.31,0.5,0.22,0,0.39,TRUE,0.58,-0.94,-0.02,-0.03,-0.09
TCGA-HU-8608-01A,FALSE,NR,0.5,0.45,0.51,0.3,0,0.48,TRUE,0.5,-2.26,-0.1,-0.14,-0.1
TCGA-HU-8610-01A,FALSE,R,-1.55,-0.05,0.42,0.04,0,-0.06,FALSE,0.61,-1.55,-0.13,-0.05,-0.05
TCGA-HU-A4G2-01A,FALSE,R,-1.27,0.18,0.44,0.07,0,0.09,TRUE,-1.27,-0.27,0.04,-0.1,0.02
TCGA-HU-A4G3-01A,FALSE,R,-0.28,-0.31,0.52,-0.23,0,-0.36,FALSE,-0.38,-0.28,-0.02,-0.07,0.04
TCGA-HU-A4G8-01A,FALSE,R,-0.75,0.19,0.74,0.12,0,0.09,TRUE,-0.75,-0.99,0.06,-0.17,-0.05
TCGA-HU-A4G9-01A,FALSE,R,-0.84,-0.27,0.78,-0.29,0,-0.53,FALSE,-1.52,-0.84,0.05,-0.23,0.04
TCGA-HU-A4GC-01A,FALSE,R,-0.91,-0.09,0.45,0.06,0,0.05,TRUE,-0.91,0.13,0.02,-0.04,0.05
TCGA-HU-A4GD-01A,FALSE,R,-1.25,-0.21,0.41,-0.25,0,-0.26,FALSE,-0.32,-1.25,0.01,-0.23,0.05
TCGA-HU-A4GF-01A,FALSE,R,-0.5,0.03,0.4,0,0,-0.07,FALSE,-0.67,-0.5,0.06,-0.18,0.03
TCGA-HU-A4GH-01A,FALSE,R,-0.47,-0.22,0.43,-0.18,0,-0.34,FALSE,-0.75,-0.47,0.08,-0.18,0.01
TCGA-HU-A4GJ-01A,FALSE,NR,1.54,0.08,0.52,0.16,0,0.43,TRUE,1.54,-2.16,-0.16,-0.18,0.01
TCGA-HU-A4GP-01A,FALSE,R,-0.52,-0.27,0.49,-0.24,0,-0.26,FALSE,-0.83,-0.52,0.02,-0.12,0.01
TCGA-HU-A4GQ-01A,FALSE,NR,1.06,0.04,0.67,0.02,0,-0.08,FALSE,-1.2,1.06,0.1,0.1,-0.04
TCGA-HU-A4GT-01A,FALSE,R,-0.2,-0.08,0.74,-0.08,0,-0.25,FALSE,-1.34,-0.2,0.08,-0.16,0.02
TCGA-HU-A4GU-01A,FALSE,R,-0.09,-0.18,0.59,-0.16,0,-0.27,FALSE,-1.21,-0.09,0.08,-0.1,0
TCGA-HU-A4GX-01A,FALSE,R,-0.31,0.31,0.69,0.22,0,0.4,TRUE,-0.31,-1.49,0,-0.2,-0.05
TCGA-HU-A4GY-01A,FALSE,NR,1.34,0.22,0.45,0.15,0,0.35,TRUE,1.34,-1.55,-0.22,0.02,-0.03
TCGA-HU-A4H0-01A,FALSE,R,-0.49,0.33,0.44,0.22,0,0.3,TRUE,-0.49,-1.69,-0.01,-0.21,-0.04
TCGA-HU-A4H2-01A,FALSE,R,-0.11,0.04,0.47,0.01,0,0.11,FALSE,-0.35,-0.11,0.07,-0.08,-0.01
TCGA-HU-A4H3-01A,FALSE,R,-0.92,0.13,0.75,0.03,0,0.09,TRUE,-0.92,0.39,0.12,-0.05,-0.02
TCGA-HU-A4H4-01A,FALSE,R,-0.22,0.3,0.58,0.19,0,0.29,TRUE,-0.22,-1.71,-0.01,-0.2,-0.08
TCGA-HU-A4H5-01A,FALSE,NR,0.21,0.01,0.4,-0.09,0,-0.18,FALSE,-0.95,0.21,0.06,-0.1,0.06
TCGA-HU-A4H6-01A,FALSE,R,-1.01,-0.01,0.43,-0.06,0,-0.11,FALSE,0.17,-1.01,0.02,-0.15,-0.04
TCGA-HU-A4H8-01A,FALSE,R,-1.19,-0.05,0.75,-0.09,0,-0.15,FALSE,-1.23,-1.19,0,-0.21,0.02
TCGA-HU-A4HB-01A,FALSE,NR,1.06,0.15,0.54,0.12,0,0.27,TRUE,1.06,-2.09,-0.14,-0.19,0
TCGA-HU-A4HD-01A,FALSE,NR,1.3,-0.12,0.34,-0.14,0,-0.3,FALSE,-1.03,1.3,0.17,-0.01,0.06
TCGA-IN-7806-01A,FALSE,NR,0.18,-0.32,0.48,-0.29,0,-0.39,FALSE,-0.44,0.18,0,-0.08,0.08
TCGA-IN-7808-01A,FALSE,NR,1.32,0.14,0.45,0.16,0,0.36,TRUE,1.32,-1.75,-0.13,-0.17,0.03
TCGA-IN-8462-01A,FALSE,NR,0.28,-0.06,0.46,-0.13,0,-0.26,FALSE,0.37,0.28,-0.01,0.07,-0.01
TCGA-IN-8663-01A,FALSE,NR,0.93,-0.06,0.38,-0.15,0,-0.3,FALSE,-0.64,0.93,0.13,0.04,-0.02
TCGA-IN-A6RI-01A,FALSE,R,-0.13,-0.34,0.5,-0.32,0,-0.63,FALSE,-1.24,-0.13,0.09,-0.17,0.05
TCGA-IN-A6RJ-01A,FALSE,R,-0.26,-0.19,0.56,-0.23,0,-0.37,FALSE,-0.21,-0.26,0.01,-0.07,0.01
TCGA-IN-A6RL-01A,FALSE,NR,0.07,-0.03,0.46,-0.05,0,-0.21,FALSE,-0.6,0.07,0.03,-0.06,0.03
TCGA-IN-A6RN-01A,FALSE,NR,0.18,-0.26,0.47,-0.23,0,-0.42,FALSE,-0.4,0.18,0.04,-0.05,0.02
