"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TCGA-BR-7958-01A",0.0301865896648889,0.00368247161434587,0.0799684440787453,0.163875451406708,0,0.0805968640419846,0.0543225984966546,0.0434364753851619,0.0176586599298746,0,0,0.0759383324936121,0.0199888212743468,0.0385275228818424,0.0875389560851215,0.0974371285230956,0.0826861349726401,0.0447663502618244,0.079389198889153,0,0,0,0,0.609923050724209,0.816558559159441
"TCGA-CG-5730-11A",0.0365246116752084,0.009079343665962,0.235085445627268,0.123386647048146,0,0.214980714715708,0.0127477068287917,0,0.0240277676066325,0,0.00813324281109552,0.00897468693773622,0.0352952983556739,0.0156396928394572,0.03490856986382,0.0728805324087324,0.0304482550817096,0.0185603241435673,0.090059076226902,0,0.0292680841635892,0,0,0.426512415340189,0.904166859609262
"TCGA-BR-7197-01A",0.0493594124866274,0,0.0623865202706622,0.0838282525639082,0,0.234845468028927,0,0.00738324881912207,0.0333361603207851,0,0.0189426254082541,0,0,0.229049152703044,0.0982819498261541,0.127934575142123,0.0371770796689759,0,0.0174755547614164,0,0,0,0,0.234427368268984,0.994277139049446
"TCGA-VQ-A94P-01A",0.0492194945619078,0.0116846115324606,0.0530574819940066,0.204605928581212,0,0.214551413648073,0.00170134644637806,0,0.00463069832976396,0,0,0.0425271650240999,0.0714537567817288,0,0.0906886325639217,0.169469367723782,0.0143510124296956,0,0.0667338078978435,0,0.00532528248512709,0,0,0.445917834591573,0.894288540457871
"TCGA-VQ-A8E0-01A",0.019530167952075,0.0416097232618519,0.103922080220522,0.0447071126699611,0,0.285369568756662,0,0,0.00247193623788427,0,0,0.020490283223507,0,0.0890254226756974,0,0.164239343355054,0.0210302500573092,0.0695990530740597,0,0.0647739132907364,0,0.0732311452246801,0,0.35959910235542,0.933738158433415
"TCGA-VQ-A8PP-01A",0.106021217662119,0.0173356473964906,0.086789351973185,0.221302285127424,0,0.0709822092658001,0.0204551955357743,0.0414697800447805,0,0,0,0.0730560755284371,0.0259442214524623,0.0785671407878358,0.0843839837447073,0.0921501372756545,0,0.0379748412464245,0.0300139671530653,0,0.01355394580584,0,0,0.443634886719655,0.895389113751817
"TCGA-BR-8372-01A",0,0.0155142997222631,0.0366061370210183,0.172070446372802,0,0.0775141882904863,0.0977573192127905,0.0444568562748369,0.0297131763905865,0.00575584910604272,0,0.0175008426256686,0.0129339430815875,0.0733548774638609,0.0998815442498562,0.143873532783518,0.0859836770453342,0.00691106356966534,0.0513487625495831,0,0.0228802285033268,0.00594325573677349,0,0.513194283139653,0.864815881251723
"TCGA-VQ-A91Y-01A",0.0171299729411202,0.0844055173847207,0.0659998419843411,0.131214253330239,0,0.218328477422839,0,0,0.0120426423099084,0,0,0.0720984691678343,0.0147299710868501,0.0117316175276351,0.076037952166083,0.16220705835425,0.0167168309969738,0.0532601214349068,0.0640972738922986,0,0,0,0,0.54579120019255,0.845262104910735
"TCGA-IN-A6RL-01A",0.0339640122395694,0.0286051610825445,0.130638707280999,0.0915405122973699,0,0.148118288433754,0.0421405324219615,0.0141901535857438,0.0319575576876106,0,0,0.0262445289516031,0.0182839710347613,0.0381924071441873,0.0820399790864406,0.135307733383829,0.0644651839476845,0.00544606949078278,0.0880852713984417,0,0,0.020779930532717,0,0.423472883298573,0.905665247866954
"TCGA-CG-5732-01A",0.0716079712636559,0.0216436634124291,0.173793123444057,0.187575700650126,0,0.123840985782503,0.0356659011788649,0,0.075617773629086,0,0,0.00635811685777071,0,0.0574758687029062,0.0440570655398587,0.124232018253344,0.0444964825613243,0.00713746889265336,0,0.00359567986022101,0,0.0229021799711987,0,0.482358267183208,0.875616241248518
