"","Tumor_Sample_Barcode","total","total_perMB","total_perMB_log"
"200","TCGA-VQ-A8PF-01A-11D-A410-08",105,2.1,0.322219294733919
"201","TCGA-3M-AB47-01A-22D-A410-08",106,2.12,0.326335860928751
"202","TCGA-D7-A6F0-01A-11D-A31L-08",106,2.12,0.326335860928751
"203","TCGA-HU-8244-01A-11D-2340-08",106,2.12,0.326335860928751
"204","TCGA-BR-8077-01A-11D-2340-08",107,2.14,0.330413773349191
"205","TCGA-BR-8286-01A-12D-2340-08",107,2.14,0.330413773349191
"206","TCGA-BR-8483-01A-31D-2394-08",108,2.16,0.334453751150931
"207","TCGA-VQ-A925-01A-11D-A410-08",109,2.18,0.338456493604605
"208","TCGA-VQ-A92D-01A-11D-A410-08",109,2.18,0.338456493604605
"209","TCGA-D7-A6EX-01A-11D-A31L-08",111,2.22,0.346352974450639
"210","TCGA-IN-A6RJ-01A-21D-A33T-08",111,2.22,0.346352974450639
"211","TCGA-HU-A4GY-01A-21D-A24D-08",112,2.24,0.350248018334163
"212","TCGA-VQ-A8E2-01A-11D-A364-08",112,2.24,0.350248018334163
"213","TCGA-HU-8243-01A-11D-2340-08",113,2.26,0.354108439147401
"214","TCGA-CG-4300-01A-01D-1158-08",114,2.28,0.357934847000454
"215","TCGA-D7-5577-01A-01D-1600-08",114,2.28,0.357934847000454
"216","TCGA-BR-8590-01A-11D-2394-08",115,2.3,0.361727836017593
"217","TCGA-CG-4476-01A-01D-1158-08",115,2.3,0.361727836017593
"218","TCGA-CG-5717-01A-11D-1600-08",115,2.3,0.361727836017593
"219","TCGA-FP-8099-01A-11D-2340-08",115,2.3,0.361727836017593
"220","TCGA-VQ-A8PE-01A-11D-A410-08",115,2.3,0.361727836017593
"221","TCGA-CG-4440-01A-01D-1158-08",117,2.34,0.369215857410143
"222","TCGA-R5-A805-01A-11D-A364-08",117,2.34,0.369215857410143
"223","TCGA-D7-6815-01A-11D-1882-08",118,2.36,0.372912002970107
"224","TCGA-VQ-AA6G-01A-11D-A410-08",118,2.36,0.372912002970107
"225","TCGA-VQ-A91A-01A-11D-A410-08",119,2.38,0.376576957056512
"226","TCGA-BR-4366-01A-01D-1158-08",120,2.4,0.380211241711606
"227","TCGA-VQ-A8PC-01A-11D-A397-08",120,2.4,0.380211241711606
"228","TCGA-VQ-A91Z-01A-11D-A410-08",122,2.44,0.387389826338729
"229","TCGA-BR-6454-01A-11D-1800-08",124,2.48,0.394451680826216
"230","TCGA-HU-8249-01A-11D-2340-08",124,2.48,0.394451680826216
"231","TCGA-CG-4438-01A-01D-1158-08",125,2.5,0.397940008672038
"232","TCGA-D7-A74A-01A-11D-A32N-08",125,2.5,0.397940008672038
"233","TCGA-VQ-AA6J-01A-11D-A410-08",126,2.52,0.401400540781544
"234","TCGA-CG-5730-01A-11D-1600-08",127,2.54,0.404833716619938
"235","TCGA-BR-6565-01A-11D-1800-08",128,2.56,0.40823996531185
"236","TCGA-VQ-A91U-01A-11D-A410-08",128,2.56,0.40823996531185
"237","TCGA-BR-8683-01A-11D-2394-08",129,2.58,0.41161970596323
"238","TCGA-CG-4477-01A-01D-1158-08",129,2.58,0.41161970596323
"239","TCGA-SW-A7EB-01A-11D-A34U-08",129,2.58,0.41161970596323
"240","TCGA-HU-A4GF-01A-11D-A24D-08",130,2.6,0.414973347970818
"241","TCGA-IN-A6RR-01A-12D-A32N-08",130,2.6,0.414973347970818
"242","TCGA-VQ-A8PJ-01A-11D-A410-08",130,2.6,0.414973347970818
"243","TCGA-VQ-A94U-01A-12D-A410-08",134,2.68,0.428134794028789
"244","TCGA-BR-8690-01A-11D-2394-08",135,2.7,0.431363764158987
"245","TCGA-CG-5727-01A-11D-1600-08",135,2.7,0.431363764158987
"246","TCGA-D7-5579-01A-01D-1600-08",135,2.7,0.431363764158987
